"dataset","source_column","key","unique_values"
"GSE15222",NA,"""""GENDER_female,AGE_99,PMI_6,TRANSDET_WHOLE_0.478,TRANSDET_CORTEX_0.823,HYBDATE_6.15.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_65,PMI_10.5,TRANSDET_WHOLE_0.476,TRANSDET_CORTEX_0.819,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_65,PMI_12,TRANSDET_WHOLE_0.459,TRANSDET_CORTEX_0.792,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_65,PMI_24,TRANSDET_WHOLE_0.347,TRANSDET_CORTEX_0.598,HYBDATE_9.13.2006,BRAINBANK_H""""",""
"GSE15222",NA,"""""GENDER_male,AGE_65,PMI_24,TRANSDET_WHOLE_0.457,TRANSDET_CORTEX_0.788,HYBDATE_6.27.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_65,PMI_5.83,TRANSDET_WHOLE_0.448,TRANSDET_CORTEX_0.773,HYBDATE_6.22.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_male,AGE_66,PMI_12,TRANSDET_WHOLE_0.352,TRANSDET_CORTEX_0.608,HYBDATE_2.22.2006,BRAINBANK_E""""",""
"GSE15222",NA,"""""GENDER_male,AGE_66,PMI_4,TRANSDET_WHOLE_0.423,TRANSDET_CORTEX_0.728,HYBDATE_8.31.2006,BRAINBANK_I""""",""
"GSE15222",NA,"""""GENDER_male,AGE_67,PMI_24.5,TRANSDET_WHOLE_0.382,TRANSDET_CORTEX_0.655,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_67,PMI_3.08,TRANSDET_WHOLE_0.492,TRANSDET_CORTEX_0.847,HYBDATE_6.22.2006,BRAINBANK_Q""""",""
"GSE15222",NA,"""""GENDER_male,AGE_67,PMI_6,TRANSDET_WHOLE_0.394,TRANSDET_CORTEX_0.679,HYBDATE_6.8.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_male,AGE_67,PMI_unknown,TRANSDET_WHOLE_0.447,TRANSDET_CORTEX_0.77,HYBDATE_6.27.2006,BRAINBANK_P""""",""
"GSE15222",NA,"""""GENDER_male,AGE_68,PMI_10,TRANSDET_WHOLE_0.39,TRANSDET_CORTEX_0.673,HYBDATE_2.22.2006,BRAINBANK_E""""",""
"GSE15222",NA,"""""GENDER_male,AGE_68,PMI_16,TRANSDET_WHOLE_0.441,TRANSDET_CORTEX_0.754,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_male,AGE_68,PMI_2,TRANSDET_WHOLE_0.487,TRANSDET_CORTEX_0.84,HYBDATE_3.9.2006,BRAINBANK_A""""",""
"GSE15222",NA,"""""GENDER_male,AGE_68,PMI_22.25,TRANSDET_WHOLE_0.458,TRANSDET_CORTEX_0.79,HYBDATE_6.27.2006,BRAINBANK_G""""",""
