"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010975","regulation of neuron projection development","81/2006","452/18986",0.179203539823009,1.69609093074758,5.14816592381862,1.30791752972637e-06,0.000692245078006083,0.000646073711813159,"ARMCX5-GPRASP2/ABI2/PLXNC1/SEMA3A/TBR1/EHD1/CSMD3/SLITRK1/FAT3/CNR1/ZDHHC15/ZNF296/DCC/PLPPR5/EFNB2/EPHA3/EPHA4/EPHA7/AKT1/GPC2/FGF13/NTNG1/ZNF365/RUFY3/PLXND1/MINAR1/CAMSAP2/PUM2/NEGR1/TSKU/SS18L1/DNM3/TIAM2/GFAP/NPTN/STAU2/GSK3B/AMIGO3/RHOA/MAP1B/MARK1/MCF2/NRCAM/PAFAH1B1/SERPINI1/PLXNB1/PPP3CA/PLXNA3/KIF21A/TENM3/TMEM30A/PRKCI/MAP2K1/RTN4/AMIGO1/LRRC7/LRRC4C/ADGRB3/PTPRO/RNF6/ROBO2/BDNF/ROBO3/BMPR2/CAPRIN2/BRAF/CDKL5/TRPC5/UBE3A/XK/SHOC2/GPRASP3/RND2/SF3A2/PPFIA2/RTCA/CDK5R1/ZNF804A/SLIT2/TOX/IST1",81
"GO:1990778","protein localization to cell periphery","68/2006","362/18986",0.187845303867403,1.77788182414084,5.13609856894383,1.70368696546104e-06,0.00081098426691086,0.000756893233613672,"CDH2/RAMP3/SEC23A/ARL6IP5/VAMP5/PGRMC1/EHD1/RER1/CLN3/CLTC/TTC8/TMEM150A/CSK/CNST/EPHA3/AKT1/AKT2/ACSL3/FGF13/EPB41L3/EFR3A/PACS2/GRIP1/SCRIB/CNPY4/STAC3/ARHGEF16/HYCC2/ANK2/GRIN2A/EHD2/ILK/JUP/KCNB1/VWC2/C1QL3/RAB8A/MYO5A/NUBP1/ATP1B1/ATP2B4/PIK3R1/PLS1/LZTFL1/VPS35/PRKCE/PRKCI/PRNP/PSMD10/TTC7A/LRRC7/DPP10/RAB13/WNK4/PLEKHF1/CAMK2D/NETO2/NETO1/FRMD8/EFCAB7/VAMP4/RAB11A/SYS1/NRXN1/ROCK2/BAG4/PREPL/C2CD5",68
"GO:0099173","postsynapse organization","51/2006","246/18986",0.207317073170732,1.962174452253,5.22081739790369,1.81085459804898e-06,0.00081098426691086,0.000756893233613672,"CDH2/ARMCX5-GPRASP2/ABI2/GPHN/RER1/STK38/PRICKLE1/ZDHHC15/CTTN/EPHA4/EPHA7/AKT1/SLITRK3/CNKSR2/ZNF365/SHANK2/PUM2/FRRS1L/DNM3/STAU2/GLRB/GRIN2B/HTR4/ARF4/C1QL3/MAP1B/MARK1/NRCAM/PAFAH1B1/VPS35/PRNP/RTN4/NLGN4X/ARHGAP22/CAPRIN2/CDKL5/UBE3A/GPRASP3/PPFIA2/CDK5R1/NAE1/WASL/HIP1R/TRIM47/ZNF804A/DCLK1/S1PR2/NRXN1/HOMER1/PLPPR4/CDC42",51
"GO:0060078","regulation of postsynaptic membrane potential","36/2006","151/18986",0.23841059602649,2.25646240087684,5.32791245968649,2.12963625246223e-06,0.000885624447273937,0.000826555062797747,"CHRNB3/DMPK/AKT1/RAB3GAP1/RIMS1/GABRA1/GABRA4/GABRA6/GABRB2/GABRG3/GLRA2/GLRB/GRIA2/GRIA3/GRIN2A/GRIN2B/GRM1/GRM5/GSK3B/KCND2/KCNK1/RGS7BP/MET/PPP3CA/CHRNA10/NLGN4X/KCTD16/INSYN2A/TRPV1/GLRA3/NETO1/NPFF/CHRNA6/HTR3B/S1PR2/NRXN1",36
"GO:0007409","axonogenesis","81/2006","459/18986",0.176470588235294,1.67022462025688,4.99604212387999,2.43485834404596e-06,0.00094504968526904,0.000882016755927387,"PLXNC1/SEMA3A/SLC9A6/TBR1/CHL1/SLITRK1/TTC8/PRICKLE1/GDF7/CNTN4/DCC/ECE1/EFNA4/EFNB1/EFNB2/CTTN/EPHA3/EPHA4/EPHA5/EPHA7/SEMA3D/FGF13/NTNG1/SLITRK3/FOXG1/RUFY3/WDR47/USP33/PLXND1/SZT2/FLRT3/TSKU/KIFBP/TIAM2/CNTN6/EPHA6/GSK3B/APLP2/LAMB2/MAP1B/MCF2/RAB8A/NRCAM/PAFAH1B1/ATL1/PLXNB1/PLXNA3/KIF21A/ARHGEF40/MAP2K1/PCDHAC2/PRDM8/RTN4/AMIGO1/LRRC4C/PTPRO/NTN4/RNF6/ROBO2/BDNF/ROBO3/RAPH1/BMPR2/BRAF/CDKL5/TRPC5/VASP/XK/FZD3/RND2/LMO4/CDK5R1/SLC25A46/DCLK1/B4GALT6/B4GALT5/SLIT2/NRXN3/NRXN1/IST1/PLPPR4",81
"GO:0007626","locomotory behavior","45/2006","213/18986",0.211267605633803,1.99956468622302,5.04238251592917,4.25562231443028e-06,0.00149290341705754,0.00139332973636316,"CHL1/C1QL1/BORCS7/CTNS/DPP4/DRD1/EPHA4/FGF12/WDR47/SHANK2/VPS13A/DDHD2/NEGR1/HTRA2/GLRB/GRM1/GRM5/HEXB/HPRT1/HTR2C/ID2/KCND2/NPY1R/NPY2R/OPRD1/PAFAH1B1/PRKN/GPR88/OXR1/PPT1/VPS35/PRKCE/PAK5/SLC4A10/KLHL1/ALS2/SCN1A/CDH23/UBE3A/CACNB4/ZNF212/MTA1/SLC25A46/GPR52/PUM1",45
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","38/2006","168/18986",0.226190476190476,2.14080377913877,5.10482410180453,4.35921643592891e-06,0.00149290341705754,0.00139332973636316,"CDH2/CDH7/CDH8/CDH9/CDH10/CDH12/CDH13/FAT3/CNTN4/PTPN23/NPTN/CNTN6/PCDH11X/PCDH7/PIK3CB/TENM3/PCDHAC2/PCDHAC1/PCDHA13/PCDHA12/PCDHA11/PCDHA10/PCDHA8/PCDHA7/PCDHA6/PCDHA5/PCDHA4/PCDHA3/PCDHA2/PCDHA1/AMIGO1/NECTIN2/ROBO2/CDH23/CLSTN2/ROBO3/PCDH20/PCDHA9",38
"GO:0007215","glutamate receptor signaling pathway","18/2006","55/18986",0.327272727272727,3.0975074775673,5.35426678585278,7.72893129202245e-06,0.00249987988789748,0.0023331428847614,"CLN3/PLCB1/FRRS1L/GNAQ/GRIA2/GRIA3/GRIN2A/GRIN2B/GRM1/GRM5/GRM7/GRM8/KCNB1/PRNP/SSTR1/CDK5R1/NRXN1/HOMER1",18
"GO:1905477","positive regulation of protein localization to membrane","27/2006","105/18986",0.257142857142857,2.43375587523145,5.06359877471372,8.79966802383428e-06,0.00269640353867175,0.0025165587999464,"RAMP3/PGRMC1/RER1/CHP1/CLN3/CNST/EPHA3/AKT1/AKT2/ACSL3/CNPY4/STAC3/ARHGEF16/KCNB1/ATP2B4/PRKN/PIK3R1/PLS1/PRKCE/PRKCI/PRNP/DPP10/EFCAB7/CDK5R1/NRXN1/TCAF1/C2CD5",27
"GO:0046488","phosphatidylinositol metabolic process","34/2006","148/18986",0.22972972972973,2.17430142006413,4.92941031592185,9.57026533953014e-06,0.00278590424033722,0.00260008998329761,"CDS1/TMEM150A/PLCH1/EFR3A/PLCB1/LCLAT1/GPLD1/PLA2G4D/HYCC2/HTR2A/HTR2C/IMPA1/INPP4A/INPP5B/ITPKB/PIK3C2G/PIK3CB/PIK3R1/PI4KA/PLCB3/PLCB4/BPNT2/PIGX/TTC7A/MPPE1/MTMR9/DDHD1/PIP5K1B/MTMR1/DPM1/INPP4B/SYNJ1/MTMR6/MTMR7",34
