"gene","module"
"100131530","pink"
"100131532","grey"
"100131539","grey"
"100131551","grey"
"100131561","grey"
"100131564","grey"
"100131608","grey"
"100131626","turquoise"
"100131635","grey"
"100131655","grey"
"100131691","yellow"
"100131726","grey"
"100131733","turquoise"
"100131755","magenta"
"100131801","turquoise"
"100131814","grey"
"100131816","grey"
"100131825","yellow"
"100131827","grey"
"100131897","black"
"100131902","cyan"
"100131980","grey"
"100131997","grey"
"100131998","yellow"
"100132004","grey"
"100132057","yellow"
"100132062","grey"
"100132074","grey"
"100132077","grey"
"100132078","grey"
"100132101","grey"
"100132103","grey"
"100132111","grey"
"100132116","grey"
"100132146","grey"
"100132154","grey"
"100132159","grey"
"100132163","green"
"100132169","grey"
"100132174","grey"
"100132202","grey"
"100132215","grey"
"100132247","grey"
"100132249","green"
"100132273","blue"
"100132285","grey"
"100132287","grey"
"100132288","grey"
"100132304","grey"
"100132341","turquoise"
"100132352","grey"
"100132354","yellow"
"100132356","grey"
"100132386","grey"
"100132403","grey"
"100132406","turquoise"
"100132417","grey"
"100132463","grey"
"100132476","grey"
"100132526","grey"
"100132529","grey"
"100132541","grey"
"100132565","grey"
"100132594","grey"
"100132596","grey"
"100132618","turquoise"
"100132677","grey"
"100132705","grey"
"100132707","brown"
"100132708","grey"
"100132724","grey"
"100132731","yellow"
"100132735","grey"
"100132741","grey"
"100132774","grey"
"100132781","grey"
"100132813","blue"
"100132815","yellow"
"100132831","grey"
"100132832","grey"
"100132874","grey"
"100132891","blue"
"100132911","salmon"
"100132916","grey"
"100132923","grey"
"100132948","grey"
"100132963","grey"
"100132967","grey"
"100132979","grey"
"100132987","grey"
"100132994","grey"
"100133036","grey"
"100133050","grey"
"100133077","yellow"
"100133091","yellow"
"100133121","grey"
"100133123","grey"
"100133144","grey"
"100133161","grey"
"100133172","grey"
"100133182","grey"
"100133204","grey"
"100133205","grey"
"100133220","grey"
"100133234","grey"
"100133286","black"
"100133301","grey"
"100133308","grey"
"100133311","grey"
"100133315","grey"
"100133331","grey"
"100133445","grey"
"100133461","grey"
"100133545","grey"
"100133612","grey"
"100133669","grey"
"100133746","midnightblue"
"100133920","grey"
"100133941","grey"
"100133957","blue"
"100133985","grey"
"100133991","turquoise"
"100134015","turquoise"
"100134040","grey"
"100134091","grey"
"100134229","brown"
"100134237","grey"
"100134259","brown"
"100134317","grey"
"100134368","grey"
"100134391","grey"
"100134423","grey"
"100134444","grey"
"100134713","grey"
"100134822","grey"
"100134868","grey"
"100134869","grey"
"100134934","green"
"100134938","grey"
"100137047","grey"
"100137049","green"
"10014","green"
"100141515","grey"
"100142659","grey"
"100144595","turquoise"
"100144596","grey"
"100144597","grey"
"100144602","yellow"
"100144603","grey"
"100144604","grey"
"100144748","grey"
"100147744","grey"
"100147773","grey"
"10015","turquoise"
"100151683","grey"
"100151684","grey"
"100158262","grey"
"10016","yellow"
"100169752","grey"
"100169760","grey"
"100169851","grey"
"100169890","green"
"100169989","grey"
"10017","brown"
"100170220","grey"
"100170221","grey"
"100170223","grey"
"100170226","grey"
"100170227","grey"
"100170228","grey"
"100170229","brown"
"100170765","grey"
"100170841","brown"
"10018","greenyellow"
"100187716","grey"
"100188847","grey"
"100188893","turquoise"
"100188917","grey"
"100188947","grey"
"100188949","grey"
"100188953","green"
"100188954","turquoise"
"100189589","blue"
"10019","red"
"100190938","brown"
"100190939","blue"
"100190940","grey"
"100190949","grey"
"100190986","grey"
"100191040","grey"
"100192204","grey"
"100192378","grey"
"100192379","blue"
"100192386","grey"
"100192420","grey"
"100192426","grey"
"1002","black"
"10020","turquoise"
"10021","brown"
"100216001","grey"
"100216479","grey"
"100216545","blue"
"100216546","turquoise"
"10022","grey"
"10023","grey"
"100233156","grey"
"100233209","red"
"10024","grey"
"100240734","grey"
"100240735","grey"
"10025","turquoise"
"10026","turquoise"
"100268168","grey"
"100270679","grey"
"100270680","grey"
"100270746","grey"
"100270804","grey"
"100271702","pink"
"100271715","yellow"
"100271722","blue"
"100271832","grey"
"100271835","grey"
"100271836","turquoise"
"100271846","grey"
"100271849","green"
"100271873","grey"
"100271874","grey"
"100271927","grey"
"100272147","green"
"100272216","grey"
"100272217","yellow"
"100272228","grey"
"100286844","green"
"100286906","grey"
"100286922","grey"
"100286938","grey"
"100286979","grey"
"100287010","grey"
"100287013","grey"
"100287015","grey"
"100287029","grey"
"100287036","grey"
"100287042","grey"
"100287072","grey"
"100287082","yellow"
"100287098","grey"
"100287102","grey"
"100287114","grey"
"100287144","grey"
"100287166","grey"
"100287171","blue"
"100287175","grey"
"100287177","black"
"100287216","turquoise"
"100287225","pink"
"100287226","grey"
"100287227","grey"
"100287238","grey"
"100287284","grey"
"100287290","blue"
"100287294","grey"
"100287314","grey"
"100287362","grey"
"100287366","grey"
"100287387","yellow"
"100287413","grey"
"100287467","grey"
"100287482","yellow"
"100287497","greenyellow"
"100287559","grey"
"100287569","greenyellow"
"100287592","grey"
"100287596","grey"
"100287610","grey"
"100287616","grey"
"100287632","grey"
"100287639","grey"
