"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04611","Platelet activation","25/948","126/9423",0.198412698412698,1.97219710669078,3.67429520919771,0.000666099034102727,0.00567849426572575,0.00387389175096586,"10000/10125/207/208/23236/2771/2776/283748/2977/2982/2983/340156/3708/387/5291/5295/5331/5332/5567/5584/5594/6915/7408/84876/9475",25
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","21/948","99/9423",0.212121212121212,2.1084579976985,3.70801575962646,0.000709168558896201,0.00589820679472206,0.00402378052672812,"10000/1119/1607/160851/1978/204962/207/208/283748/3845/5291/5295/5594/5599/5602/5604/5900/80310/8395/8936/9162",21
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","17/948","73/9423",0.232876712328767,2.31476504248309,3.77146114810087,0.000738917802775229,0.00599930882729412,0.00409275274218861,"10000/11186/1643/1871/207/208/3845/4233/5291/5295/5594/5604/578/595/673/6776/842",17
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","20/948","93/9423",0.21505376344086,2.13760718660678,3.6872182489291,0.00078414635929626,0.00621846298883778,0.00424226059741673,"23236/2776/2796/2798/283748/3708/3845/4215/5331/5332/5567/5594/5598/5599/5602/5604/6416/776/817/998",20
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","35/948","203/9423",0.172413793103448,1.7137712789175,3.4383294906936,0.00100562289000706,0.00779357739755473,0.00531681001654451,"10000/10298/10319/1291/1292/207/208/2932/340156/3479/3611/3693/387/3913/4233/5228/5291/5295/5594/5599/5602/5604/57144/5829/5923/595/673/7408/7423/80310/81/8395/9475/9564/998",35
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","28/948","154/9423",0.181818181818182,1.807249712313,3.37798474091122,0.0013717342486823,0.0102140687425046,0.0069680790001343,"10000/10411/207/208/23236/2771/2776/3776/481/488/490/493/5331/5332/5515/5521/5527/5529/5567/5594/6262/6332/6546/7169/776/781/785/817",28
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","41/948","253/9423",0.162055335968379,1.61080952619202,3.2937244193843,0.00137785091541117,0.0102140687425046,0.0069680790001343,"10000/10096/10097/10318/10325/10616/11146/2017/207/208/23236/2932/3611/3708/387/5217/5291/5295/5331/5332/54205/5581/5594/5599/5602/5829/5970/6500/7334/7336/7416/81/81631/8717/8936/8976/9140/9474/9475/9564/998",41
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","26/948","140/9423",0.185714285714286,1.84597649186257,3.37274884902427,0.00146212046639421,0.010577743517316,0.00721617940215108,"10000/10891/207/208/23236/2771/2776/340156/3708/3845/4205/4899/5331/5332/54331/5563/5567/5581/5594/5604/595/6237/6262/6546/814/81631",26
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","28/948","155/9423",0.180645161290323,1.79559003674969,3.34016589626951,0.00151802545230194,0.010577743517316,0.00721617940215108,"1856/1871/23236/2771/2776/2932/3708/3739/3776/5087/51384/5331/5332/5567/5594/5604/57552/5929/595/673/7471/7478/776/7976/817/84876/8622/9070",28
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","16/948","71/9423",0.225352112676056,2.23997147441612,3.5074741969348,0.00151996900981961,0.010577743517316,0.00721617940215108,"10000/207/208/2645/2932/3845/5291/5295/5594/5599/5602/5604/595/5970/6776/8792",16
